2000 Plus Consulting,-,http://2000plusconsulting.com/,727-445-7587,"1127 Seminole Street 
Clearwater, Florida    33755
",NetAdvantage
3CI Complete Compliance Corporation,1991,-,972-375-0006,"1517 West North Carrier Parkway
Suite 104 
Grand Prairie, Texas    75050
",NetAdvantage
Able Services,1926,ableserve.com,415-546-6534,"868 Folsom Street 
San Francisco, California    94107-1123
",NetAdvantage
ABM Janitorial Services - Southwest,1939,-,415-733-4000,"160 Pacific Avenue
Suite 222 
San Francisco, California    94111
",NetAdvantage
Aduromed Corporation,1992,-,203-798-1080,"3 Trowbridge Drive 
Bethel, Connecticut    06801
",NetAdvantage
Agility Bioservices,2003,-,,"560 Fifth Street NW
Suite 404 
Grand Rapids, Michigan    49504
",NetAdvantage
All Star International,1983,-,858-259-0900,"12250 El Camino Real 
San Diego, California    92130
",NetAdvantage
Allied Industries,1997,-,818-781-2490,"11333 Vanowen Street 
North Hollywood, California    91605
",NetAdvantage
Alpha Bio/Med Services,2006,www.alphabiomed.biz,717-283-4991,"3246 Lincoln Highway East 
Paradise, Pennsylvania    17562
",NetAdvantage
Amerex Companies,2005,www.amerexcos.com,918-858-1050,"1105 North Peoria 
Tulsa, Oklahoma    74106
",NetAdvantage
Amerex Group,2005,-,918-858-1050,"1105 North Peoria 
Tulsa, Oklahoma    74116
",NetAdvantage
American Medical Disposal,-,-,,,NetAdvantage
American Pulverizer Company,1908,www.ampulverizer.com,314-781-6100,"1319 Macklind Avenue 
St. Louis, Missouri    63110
",NetAdvantage
Antaeus Group,1989,-,410-666-6160,"10626 York Road
Suite D 
Hunt Valley, Maryland    21020
",NetAdvantage
Arakelian Enterprises,1957,www.athensservices.com,626-336-3636,"14048 East Valley Boulevard 
City of Industry, California    91746
",NetAdvantage
Artistic Waste Services,1993,-,515-262-4040,"1817 Euclid Avenue 
Des Moines, Iowa    50313
",NetAdvantage
Aseptic Control Products,1992,www.acpmedicalinc.com,847-342-1729,"3831 Industrial Avenue
Unit D 
Rolling Meadows, Illinois    60008
",NetAdvantage
Associated Purchasing Services Corp.,1970,www.apskc.org,913-327-8730,"7015 College Boulevard
Suite 150 
Overland Park, Kansas    66211
",NetAdvantage
